Timestamp,EventName
658.0636524,開始: 順化中
838.0659566,終了: 順化中
838.0662092,開始: ベースライン測定中
1138.5927271,終了: ベースライン測定中
1138.5930124,開始: Task 1: Low (写経)
1439.4205916,終了: Task 1: Low (写経)
1439.4221544,開始: Survey after Task 1
1475.7805483,提出: Survey after Task 1
1475.7807255,開始: 休憩 1
1480.8272018,提出: 休憩 1
1480.8273594,開始: Task 2: Medium (写経+音声)
1483.6585311,提出: Task 2: Medium (写経+音声)
1483.6587086,開始: Survey after Task 2
1484.6534404,提出: Survey after Task 2
1484.6536002,開始: 休憩 2
1485.0573326,提出: 休憩 2
1485.0575008,開始: Task 3: High (写経+音声)
1485.5901387,提出: Task 3: High (写経+音声)
1485.5902952,開始: Survey after Task 3
1486.102282,提出: Survey after Task 3
1486.1024489,開始: Recovery
1486.5869626,提出: Recovery
1486.5871259,開始: 実験完了
1488.5678444,終了: 実験完了
1488.6788406,実験完了
