Timestamp,EventName
2182.92031,開始: 順化中
2363.6679595,終了: 順化中
2363.6683434,開始: ベースライン測定中
2745.5334877,終了: ベースライン測定中
2745.5337873,開始: Task 1: Low (写経)
3045.7605276,終了: Task 1: Low (写経)
3045.7623917,開始: Survey after Task 1
3055.6015914,提出: Survey after Task 1
3055.6017624,開始: 休憩 1
3062.7898582,提出: 休憩 1
3062.790026,開始: Task 2: Medium (写経+音声)
3064.778828,提出: Task 2: Medium (写経+音声)
3064.7790109,開始: Survey after Task 2
3066.2817992,提出: Survey after Task 2
3066.2820234,開始: 休憩 2
3066.8515978,提出: 休憩 2
3066.8517608,開始: Task 3: High (写経+音声)
3067.4308667,提出: Task 3: High (写経+音声)
3067.4310776,開始: Survey after Task 3
3068.0038081,提出: Survey after Task 3
3068.0039645,開始: Recovery
3068.5160335,提出: Recovery
3068.5162451,開始: 実験完了
3069.9324838,終了: 実験完了
3069.9917182,実験完了
