Timestamp,EventType,KeyCode,Char
357218.7705054,KeyUp,79,o
357218.979985,KeyDown,84,t
357219.0588894,KeyUp,84,t
357219.1340226,KeyDown,84,t
357219.1936613,KeyDown,69,e
357219.2387099,KeyUp,84,t
357219.2878662,KeyUp,69,e
357219.3021054,KeyDown,32,space
357219.3575166,KeyDown,13,enter
357219.3980156,KeyUp,32,space
357219.4328168,KeyUp,13,enter
357220.1966655,KeyDown,8,backspace
357220.2870486,KeyUp,8,backspace
357220.5209464,KeyDown,78,n
357220.6012861,KeyDown,79,o
357220.655427,KeyUp,78,n
357220.7156219,KeyUp,79,o
357221.1789935,KeyDown,8,backspace
357221.2270466,KeyUp,8,backspace
357221.321533,KeyDown,8,backspace
357221.3719658,KeyUp,8,backspace
357221.4566781,KeyDown,8,backspace
357221.4904703,KeyUp,8,backspace
357221.5603191,KeyDown,8,backspace
357221.6097929,KeyUp,8,backspace
357222.0485321,KeyDown,78,n
357222.1028704,KeyDown,79,o
357222.1623311,KeyUp,78,n
357222.2030162,KeyUp,79,o
357222.5060057,KeyDown,72,h
357222.5657664,KeyDown,73,i
357222.5953925,KeyUp,72,h
357222.6708437,KeyUp,73,i
357222.7850573,KeyDown,75,k
357222.8294969,KeyDown,65,a
357222.8649239,KeyUp,75,k
357222.9542193,KeyUp,65,a
357223.1277178,KeyDown,82,r
357223.208144,KeyDown,73,i
357223.2167396,KeyUp,82,r
357223.2873044,KeyUp,73,i
357223.3677461,KeyDown,78,n
357223.4375932,KeyDown,73,i
357223.4757546,KeyUp,78,n
357223.5505486,KeyUp,73,i
357223.8088483,KeyDown,89,y
357223.8891066,KeyDown,79,o
357223.8986685,KeyUp,89,y
357223.9631609,KeyUp,79,o
357224.0682197,KeyDown,84,t
357224.1423236,KeyUp,84,t
357224.2266419,KeyDown,84,t
357224.2820864,KeyDown,69,e
357224.3164976,KeyUp,84,t
357224.3775232,KeyUp,69,e
357224.386939,KeyDown,32,space
357224.4312387,KeyDown,13,enter
357224.4750276,KeyUp,32,space
357224.525428,KeyUp,13,enter
357225.4462961,KeyDown,77,m
357225.5554096,KeyDown,65,a
357225.5642812,KeyUp,77,m
357225.6897604,KeyUp,65,a
357225.6996548,KeyDown,73,i
357225.7740597,KeyUp,73,i
357225.854701,KeyDown,78,n
357225.9279011,KeyDown,73,i
357225.9624508,KeyUp,78,n
357226.0329499,KeyUp,73,i
357226.1767671,KeyDown,84,t
357226.2655892,KeyUp,84,t
357226.2763929,KeyDown,73,i
357226.3519562,KeyUp,73,i
357226.4124519,KeyDown,32,space
357226.5057974,KeyDown,13,enter
357226.5394359,KeyUp,32,space
357226.5895407,KeyUp,13,enter
357227.1226896,KeyDown,83,s
357227.265517,KeyUp,83,s
357227.3301707,KeyDown,85,u
357227.3918252,KeyUp,85,u
357227.5449834,KeyDown,75,k
357227.6241814,KeyDown,79,o
